time,irradiance,temperature,voltage,current,power,source_site,weather_condition,source_file,date,irradiance_rolling_std,operating_scenario
2023-01-01 07:45:00,20.814,0.02492,117.04,1.7356,0.0,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,4.57941122461122,cloudy
2023-01-01 07:46:00,22.176,0.03004,117.06,1.7218,0.48808,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,4.6577290159884726,cloudy
2023-01-01 07:47:00,23.32,0.0947899999999999,117.06,1.7257,1.7415,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,4.7562037783249345,cloudy
2023-01-01 07:48:00,24.655,0.05741,117.06,1.7235,2.629,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,4.78482212238419,cloudy
2023-01-01 07:49:00,26.481,-0.04245,117.11,1.7201,3.3167,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,4.885610429277663,cloudy
2023-01-01 07:50:00,27.897,-0.08036,117.12,1.7279,4.5923,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,5.065922482628411,cloudy
2023-01-01 07:51:00,29.314,-0.10553,117.11,1.7287,5.8791,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,5.263446541500929,cloudy
2023-01-01 07:52:00,31.112,-0.05562,117.13,1.7221,6.6778,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,5.506291550408062,cloudy
2023-01-01 07:53:00,32.583,0.01545,117.28,1.7174,7.7426,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,5.7573160024772765,cloudy
2023-01-01 07:54:00,34.027,0.0290699999999999,117.44,1.7072,9.2291,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,5.983757883598216,cloudy
2023-01-01 07:55:00,36.179,0.0482,117.31,1.7005,10.272,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,6.3203465524334295,cloudy
2023-01-01 07:56:00,37.732,0.0608399999999999,117.17,1.6956,11.514,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,6.569945322668761,cloudy
2023-01-01 07:57:00,39.557,0.03681,117.2,1.6925,12.579,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,6.798651352255371,cloudy
2023-01-01 07:58:00,41.519,0.1558199999999999,117.2,1.697,13.91,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.017421183502286,cloudy
2023-01-01 07:59:00,43.371,0.2174099999999999,117.17,1.7063,16.129,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.232336264174612,cloudy
2023-01-01 08:00:00,45.442,0.22953,117.11,1.7113,17.748,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.45383758942491,cloudy
2023-01-01 08:01:00,47.975,0.2348,117.13,1.7061,19.057,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.742735143038151,cloudy
2023-01-01 08:02:00,49.746,0.14557,117.16,1.7072,21.176,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.960984477886057,cloudy
2023-01-01 08:03:00,52.116,0.0599599999999999,117.09,1.7077,22.207,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.195094198592798,cloudy
2023-01-01 08:04:00,54.214,0.0780099999999999,117.21,1.7102,24.326,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.453606709564845,cloudy
2023-01-01 08:05:00,55.957,0.0582599999999999,117.17,1.7119,25.435,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.642606216270849,cloudy
2023-01-01 08:06:00,58.057,0.14726,117.11,1.7116,26.988,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.800591545594001,cloudy
2023-01-01 08:07:00,59.419,0.3185299999999999,117.08,1.7102,27.865,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.880518274772651,cloudy
2023-01-01 08:08:00,61.054,0.39828,117.12,1.7124,29.418,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.882777458709178,cloudy
2023-01-01 08:09:00,62.799,0.4360999999999999,117.3,1.7154,29.839,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.81222472477861,cloudy
2023-01-01 08:10:00,64.216,0.44635,117.31,1.7179,31.026,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.717892843921323,cloudy
2023-01-01 08:11:00,65.496,0.44872,117.08,1.7168,31.925,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.520852571919095,cloudy
2023-01-01 08:12:00,66.095,0.4527399999999999,117.16,1.7303,34.886,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,8.190899684289539,cloudy
2023-01-01 08:13:00,67.348,0.44018,117.33,1.7193,36.062,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.823977066866717,cloudy
2023-01-01 08:14:00,68.275,0.41491,117.35,1.7276,23.661,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,7.380774479945085,cloudy
2023-01-01 08:15:00,68.331,0.3877499999999999,117.34,1.7232,21.331,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,6.8227978257770205,cloudy
2023-01-01 08:16:00,68.385,0.3987999999999999,117.3,1.7204,36.129,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,6.2487504564245215,cloudy
2023-01-01 08:17:00,68.276,0.4020099999999999,117.23,1.7212,37.072,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,5.567598779674009,cloudy
2023-01-01 08:18:00,68.629,0.39853,117.29,1.7212,37.349,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,4.927653461648264,cloudy
