time,irradiance,temperature,voltage,current,power,source_site,weather_condition,source_file,date,irradiance_rolling_std,operating_scenario
2023-01-01 10:13:00,260.29,1.7088,117.56,2.585,225.58,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,26.973141897255985,moderate
2023-01-01 10:14:00,297.82,1.6748,117.45,2.8433,263.06,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,37.43603009833965,moderate
2023-01-01 10:15:00,339.85,1.6918,117.48,3.1768,308.68,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,50.693545160625376,moderate
2023-01-01 10:16:00,351.78,1.7438,117.47,3.2805,323.68,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,60.65837603999555,moderate
2023-01-01 10:17:00,330.81,1.845,117.45,3.1169,301.46,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,64.63392889040173,moderate
2023-01-01 10:18:00,318.55,1.8896,117.6,3.0068,284.82,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,65.70041037778613,moderate
2023-01-01 10:19:00,315.8,1.9221,117.69,3.0068,285.51,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,65.23246429574175,moderate
2023-01-01 10:20:00,314.06,1.945,117.68,2.9524,279.66,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,63.5310956109195,moderate
2023-01-01 10:21:00,312.67,1.9922,117.55,2.9469,277.12,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,60.67268042145326,moderate
2023-01-01 10:22:00,316.53,2.0872,117.41,2.9819,282.39,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,56.79323161383622,moderate
2023-01-01 10:23:00,322.39,2.1386,117.45,3.0338,289.91,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,51.8587644977981,moderate
2023-01-01 10:24:00,333.37,2.0279,117.44,3.1248,301.83,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,46.13579488340698,moderate
2023-01-01 10:25:00,340.78,1.941,117.51,3.1612,306.73,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,39.3393076536263,moderate
2023-01-01 10:26:00,331.38,2.0375,117.63,3.0696,295.36,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,30.410295452754248,moderate
2023-01-01 10:27:00,323.34,2.1515,117.58,3.0175,287.51,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,21.46409134211963,moderate
2023-01-01 10:28:00,323.37,2.2448,117.53,3.0219,287.68,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,13.49992839487179,moderate
2023-01-01 10:29:00,300.14,2.3413,117.28,2.8563,263.57,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,13.17778064990998,moderate
2023-01-01 10:30:00,295.45,2.4592,117.26,2.8229,261.34,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,14.519309900955982,moderate
2023-01-01 10:31:00,289.0,2.5858,117.23,2.7837,252.14,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,14.378200496717493,moderate
2023-01-01 10:32:00,277.61,2.7394,117.22,2.6974,241.22,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,17.22972962228774,moderate
2023-01-01 10:33:00,265.43,2.8435,117.1,2.6193,228.07,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,21.276687398809578,moderate
2023-01-01 10:34:00,256.09,2.9322,117.04,2.5534,218.71,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,25.44300178831096,moderate
2023-01-01 10:37:00,255.11,2.9028,117.32,2.5462,216.34,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,33.84996030102462,moderate
2023-01-01 10:38:00,263.83,2.8506,117.45,2.6049,228.66,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,33.70995369464674,moderate
2023-01-01 10:39:00,271.04,2.8887,117.46,2.6504,234.44,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,31.77148748709833,moderate
2023-01-01 10:40:00,279.95,2.9663,117.41,2.7172,244.67,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,27.909905478333524,moderate
2023-01-01 10:41:00,291.12,3.0489,117.32,2.7978,255.78,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,24.534887250218606,moderate
2023-01-01 10:42:00,303.13,3.0856,117.33,2.8772,268.48,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,22.39547749839104,moderate
2023-01-01 10:43:00,306.37,2.9953,117.37,2.888,271.77,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,20.251381681257865,moderate
2023-01-01 10:44:00,316.91,2.9125,117.34,2.9749,282.21,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,22.025845208364743,moderate
2023-01-01 10:45:00,330.86,2.9183,117.38,3.1021,296.91,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,25.654718994108173,moderate
2023-01-01 10:46:00,344.88,2.9491,117.42,3.2017,312.42,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,30.61272373190114,moderate
2023-01-01 10:47:00,344.34,2.9762,117.61,3.2074,310.54,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,34.27033929271908,moderate
2023-01-01 10:48:00,357.96,3.0358,117.64,3.3086,326.25,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,37.98516113782668,moderate
2023-01-01 10:49:00,360.03,3.1063,117.66,3.3047,325.94,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,39.91453001936336,moderate
2023-01-01 10:50:00,361.85,3.1727,117.62,3.332,329.44,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,39.822748679378556,moderate
2023-01-01 10:51:00,371.27,3.2074,117.42,3.4064,336.59,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,39.023473460884766,moderate
2023-01-01 10:52:00,381.51,3.2407,117.46,3.4715,343.68,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,38.28853185261314,moderate
2023-01-01 10:53:00,380.56,3.2697,117.42,3.4569,342.44,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,36.649397812242455,moderate
2023-01-01 10:54:00,386.74,3.3421,117.55,3.4982,350.77,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,34.6991329382547,moderate
2023-01-01 10:55:00,383.61,3.4214,117.77,3.4607,347.24,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,31.841449356818945,moderate
2023-01-01 10:56:00,376.3,3.4877,117.75,3.3829,339.19,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,28.363948412092075,moderate
2023-01-01 10:57:00,381.28,3.5117,117.75,3.4228,343.44,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,25.426105220160633,moderate
2023-01-01 10:58:00,385.97,3.5435,117.49,3.47,346.72,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,21.698410036112175,moderate
2023-01-01 10:59:00,399.14,3.6095,117.48,3.5414,357.49,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,19.111397372348982,moderate
2023-01-01 11:00:00,416.98,3.7182,117.51,3.6415,372.68,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,19.524088003821678,moderate
2023-01-01 11:01:00,444.84,3.796,117.57,3.9262,407.8,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,24.701133827842327,moderate
2023-01-01 11:02:00,488.95,3.811,117.67,4.2051,442.6,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,34.971462542778795,moderate
2023-01-01 11:03:00,529.64,3.8178,117.75,4.5168,482.65,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,48.559285395228684,moderate
2023-01-01 11:15:00,552.98,4.3869,118.12,4.5724,491.32,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,69.0022839649605,moderate
2023-01-01 11:16:00,519.0,4.224,117.89,4.3442,461.25,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,58.864116970075756,moderate
2023-01-01 11:17:00,513.98,4.1507,117.97,4.3053,456.74,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,55.5474565702937,moderate
2023-01-01 11:18:00,505.75,4.1261,117.97,4.2402,449.71,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,58.24466026619008,moderate
2023-01-01 11:19:00,501.45,4.1244,117.95,4.187,439.97,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,63.543945813302294,moderate
