time,irradiance,temperature,voltage,current,power,source_site,weather_condition,source_file,date,irradiance_rolling_std,operating_scenario
2023-01-01 10:14:00,297.82,1.6748,117.45,2.8433,263.06,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,37.43603009833965,rainy
2023-01-01 13:13:00,294.44,2.6152,117.17,2.8122,255.78,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,35.2379077266583,rainy
2023-01-01 13:14:00,298.8,2.5393,117.43,2.8671,263.17,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,35.37896305245209,rainy
2023-01-01 13:33:00,265.51,1.9919,117.18,2.6352,230.51,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,36.275938791962346,rainy
2023-01-01 13:34:00,247.37,2.0599,117.07,2.5254,211.36,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,42.11228525648915,rainy
2023-01-01 13:35:00,239.02,2.1193,117.38,2.4738,204.86,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,43.951459783981726,rainy
2023-01-01 13:36:00,230.39,2.1067,117.32,2.4355,196.7,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,44.10844149852361,rainy
2023-01-01 13:37:00,219.88,2.0513,117.29,2.3754,186.63,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,46.50803353031874,rainy
2023-01-01 13:38:00,215.88,1.9563,117.32,2.3503,183.19,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,49.046285554227005,rainy
2023-01-01 13:39:00,213.67,1.9547,117.41,2.3371,181.47,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,51.39707484728341,rainy
2023-01-01 13:40:00,211.66,1.9713,117.26,2.3315,180.81,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,53.084365764050894,rainy
2023-01-01 13:41:00,209.4,1.9729,117.13,2.32,177.78,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,52.78431688981036,rainy
2023-01-01 13:42:00,206.0,2.0377,117.13,2.3018,175.45,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,50.012002397520874,rainy
2023-01-01 13:43:00,201.83,2.0195,117.11,2.2728,170.24,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,42.57400999044813,rainy
2023-01-01 13:44:00,196.71,1.8913,117.21,2.2441,165.24,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,38.0514934692215,rainy
2023-01-01 14:13:00,273.43,1.5485,117.45,2.7356,244.55,PVDAQ_10,moderate,system_10_2023_01_01.csv,2023-01-01,40.54425927304773,rainy
2023-01-01 14:35:00,218.33,0.92912,117.16,2.3368,182.96,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,35.227709237124195,rainy
2023-01-01 14:36:00,202.7,0.95292,117.25,2.2521,167.44,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,41.16491336540232,rainy
2023-01-01 14:37:00,192.6,0.99524,117.18,2.195,158.6,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,44.805029447704285,rainy
2023-01-01 14:38:00,185.93,1.0055,117.08,2.1672,152.61,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,46.79762882678615,rainy
2023-01-01 14:39:00,177.77,0.97483,117.08,2.1277,144.23,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,49.77488027777453,rainy
2023-01-01 14:40:00,171.92,0.83032,117.04,2.099,137.67,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,52.693337177078305,rainy
2023-01-01 14:41:00,166.31,0.7560799999999999,117.32,2.0684,132.16,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,53.31227072188849,rainy
2023-01-01 14:42:00,161.73,0.70071,117.19,2.0522,127.86,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,52.47750917797001,rainy
2023-01-01 14:43:00,158.52,0.67146,117.02,2.0345,126.57,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,50.20033037265716,rainy
2023-01-01 14:44:00,156.56,0.64541,116.98,2.0218,124.1,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,47.04773123420329,rainy
2023-01-01 14:45:00,155.36,0.65503,116.98,2.0254,123.06,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,43.028561422563854,rainy
2023-01-01 14:46:00,154.63,0.71272,117.06,2.0221,123.32,PVDAQ_10,cloudy,system_10_2023_01_01.csv,2023-01-01,37.99942067227713,rainy
2023-01-03 07:29:00,98.454,-6.7692,116.81,1.6495,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,36.16405917738798,rainy
2023-01-03 07:30:00,107.09,-6.7529,116.81,1.6498,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,40.403813239960655,rainy
2023-01-03 07:31:00,116.55,-6.7391,116.74,1.6498,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,44.14431646817926,rainy
2023-01-03 07:32:00,127.57,-6.7001,116.81,1.6501,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,47.50590893830648,rainy
2023-01-03 07:33:00,138.99,-6.607,116.77,1.6512,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,50.37001799322595,rainy
2023-01-03 07:34:00,150.43,-6.501,116.8,1.6498,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,52.61564591729528,rainy
2023-01-03 07:35:00,160.41,-6.4644,116.79,1.6501,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,53.960346729833994,rainy
2023-01-03 07:36:00,171.78,-6.5476,116.82,1.6498,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,54.33563798745807,rainy
2023-01-03 07:37:00,183.25,-6.796,116.79,1.6503,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,53.49380547609585,rainy
2023-01-03 07:38:00,192.25,-6.9369,116.8,1.6501,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,50.76812482941767,rainy
2023-01-03 07:39:00,200.21,-7.0115,116.82,1.6501,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,47.36851479019232,rainy
2023-01-03 07:40:00,211.41,-6.8493,116.87,1.6501,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,45.938285865569306,rainy
2023-01-03 07:41:00,221.77,-6.6604,117.21,1.6509,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,46.1210569569765,rainy
2023-01-03 07:42:00,231.33,-6.6,117.24,1.6509,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,46.32393877251912,rainy
2023-01-03 07:43:00,241.83,-6.5429,117.28,1.6498,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,46.3463809787633,rainy
2023-01-03 07:44:00,252.43,-6.5177,117.23,1.6503,0.0,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,46.36722759922354,rainy
2023-01-03 07:45:00,262.11,-6.5495,117.29,1.6495,0.0,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,46.114837226006294,rainy
2023-01-03 07:46:00,270.78,-6.6965,117.32,1.6506,0.0,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,45.56271935736715,rainy
2023-01-03 07:47:00,278.79,-6.919,117.26,1.6498,0.0,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,44.854548561620504,rainy
2023-01-03 07:48:00,288.08,-7.1084,117.23,1.6503,0.0,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,44.22829940854084,rainy
2023-01-03 07:49:00,299.94,-7.2243,117.26,1.6501,0.0,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,44.004950024591245,rainy
2023-01-03 08:08:00,237.11,-7.1602,116.66,1.71,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,37.09264768631468,rainy
2023-01-03 08:09:00,240.11,-7.1356,116.57,1.7116,0.0,PVDAQ_10,cloudy,system_10_2023_01_03.csv,2023-01-03,43.39441831563704,rainy
2023-01-03 11:10:00,291.48,-1.7518,117.67,3.0303,287.92,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,405.60412809372053,rainy
2023-01-03 11:11:00,295.84,-1.9227,117.75,3.1053,298.18,PVDAQ_10,moderate,system_10_2023_01_03.csv,2023-01-03,441.4705342343284,rainy
