time,irradiance,temperature,voltage,current,power,source_site,weather_condition,source_file
2023-01-01 00:00:00,-2.043,1.704,117.74,1.6671,-1.0981,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:01:00,-1.934,1.6858,117.78,1.6674,-1.087,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:02:00,-1.9613,1.6379,117.77,1.6665,-1.1092,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:03:00,-1.8524,1.6191,117.81,1.6668,-0.9983,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:04:00,-1.8524,1.5867,117.7,1.6677,-1.087,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:05:00,-1.9068,1.6767,117.68,1.6685,-1.0649,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:06:00,-1.5527,1.9334,117.71,1.6682,-1.0205,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:07:00,-1.3348,1.9951,117.76,1.6668,-1.1203,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:08:00,-1.3075,1.9798,117.75,1.6682,-1.076,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:09:00,-1.1168,1.9079,117.74,1.6677,-1.0205,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:10:00,-0.57203,1.8265,117.76,1.668,-1.0649,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:11:00,-0.5448,1.7963,117.79,1.668,-1.0538,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:12:00,-1.1168,1.7346,117.84,1.6682,-1.0205,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:13:00,-1.1168,1.669,117.86,1.668,-1.076,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:14:00,-1.2803,1.616,117.84,1.6674,-1.0427,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:15:00,-1.2803,1.6476,117.86,1.6674,-1.076,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:16:00,-1.9068,1.7464,117.84,1.668,-1.0427,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:17:00,-1.2803,1.8203,117.84,1.668,-1.0427,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:18:00,-1.3075,1.7594,117.86,1.6677,-1.0538,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:19:00,-1.3075,1.6472,117.85,1.6669,-1.0649,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:20:00,-1.6617,1.5394,117.81,1.6674,-1.0538,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
2023-01-01 00:21:00,-2.0158,1.4414,117.82,1.6679,-1.0981,PVDAQ_10,night_or_low_power,system_10_2023_01_01.csv
