time,irradiance,temperature,voltage,current,power,source_site,weather_condition,source_file,date,irradiance_rolling_std,operating_scenario
2023-01-01 11:04:00,636.15,3.8535,118.28,5.3087,583.91,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,75.7376244927814,sunny
2023-01-01 11:05:00,624.63,3.8691,118.37,5.1518,563.86,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,89.97083351736588,sunny
2023-01-01 11:06:00,671.71,3.8904,118.44,5.4618,603.15,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,105.8207851218728,sunny
2023-01-01 11:07:00,676.61,3.9937,118.38,5.5465,611.55,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,117.16835194344468,sunny
2023-01-01 11:08:00,662.06,4.1363,118.18,5.4714,602.11,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,122.70946205609127,sunny
2023-01-01 11:09:00,668.74,4.304,118.23,5.4901,605.92,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,126.06149097431276,sunny
2023-01-01 11:10:00,630.01,4.3215,118.04,5.2019,567.18,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,123.54509584223383,sunny
2023-01-01 11:11:00,625.24,4.309,117.96,5.16,562.55,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,117.58748759156019,sunny
2023-01-01 11:12:00,606.48,4.3925,117.9,5.0278,545.02,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,108.61455615857342,sunny
2023-01-01 11:13:00,601.65,4.4807,118.17,4.9748,539.0,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,96.94466064031974,sunny
2023-01-01 11:14:00,607.45,4.4673,118.23,5.0088,546.0,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,83.32506255337528,sunny
2023-01-01 11:47:00,602.0,3.316,118.61,5.0351,549.25,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,57.3041320707415,sunny
2023-01-01 12:04:00,656.97,3.2548,118.4,5.2984,578.58,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,36.36197287591289,sunny
2023-01-01 12:05:00,638.53,3.3475,118.36,5.0777,555.1,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,42.327264803130646,sunny
2023-01-01 12:06:00,636.68,3.3798,118.31,5.2068,566.64,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,46.81221684255452,sunny
2023-01-01 12:07:00,631.02,3.3617,118.14,5.1395,563.34,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,49.68807495145103,sunny
2023-01-01 12:08:00,639.71,3.3903,118.11,5.3019,581.7,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,50.45900721896814,sunny
2023-01-01 12:09:00,701.4,3.3871,118.38,5.8008,643.03,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,54.974429224608656,sunny
2023-01-01 12:10:00,766.83,3.3839,118.5,6.2432,695.26,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,67.44370151678955,sunny
2023-01-01 12:11:00,768.96,3.3815,118.48,6.2688,699.9,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,75.48046897802736,sunny
2023-01-01 12:12:00,816.02,3.3763,118.67,6.5943,737.5299999999999,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,87.97469688712233,sunny
2023-01-01 12:13:00,825.5299999999999,3.39,118.56,6.6552,748.19,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,96.87530211565847,sunny
2023-01-01 12:14:00,901.49,3.455,118.7,7.1745,808.59,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,108.67466372268291,sunny
2023-01-01 12:15:00,831.0499999999998,3.5024,118.61,6.6478,746.46,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,108.81742834850064,sunny
2023-01-01 12:16:00,770.76,3.4661,118.67,6.1607,688.17,PVDAQ_10,sunny,system_10_2023_01_01.csv,2023-01-01,104.14706054878606,sunny
