measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id,ambient_temp_f__2688
2020-01-15 00:00:00,0.0,-200.0,285.0,0.0,-200.0,7.0,0.0,29.0,-1.3388875959999993,0.0,0.0,66.656,351.54,0.0138582399999999,34,
2020-01-15 00:15:00,0.0,-300.0,285.0,0.0,-200.0,7.0,0.0,28.0,-1.0555542399999958,0.0,0.0,66.98100000000001,351.54,0.0138582399999999,34,
2020-01-15 00:30:00,0.0,-200.0,285.0,0.0,-200.0,7.0,0.0,28.0,-0.6499986519999971,0.0,0.0,66.969,351.54,0.0250342399999999,34,
2020-01-15 00:45:00,0.0,-300.0,285.0,0.0,-200.0,7.0,0.0,28.0,,,0.0,,,,34,
2020-01-15 00:45:01,,,,,,,,,-0.6277764279999971,0.0,,67.813,351.54,0.0138582399999999,34,
2020-01-15 01:00:00,0.0,-300.0,285.0,0.0,-200.0,8.0,0.0,28.0,-0.9722208999999964,0.0,0.0,70.181,351.54,0.0138582399999999,34,
2020-01-15 01:15:00,0.0,-200.0,285.0,0.0,-200.0,8.0,0.0,27.0,-2.083332099999998,0.0,0.0,71.331,351.585,0.0,34,
2020-01-15 01:30:00,0.0,-300.0,285.0,0.0,-200.0,9.0,0.0,27.0,-2.8444432719999995,0.0,0.0,73.22499999999998,351.585,0.0,34,
2020-01-15 01:45:00,0.0,-200.0,285.0,0.0,-200.0,8.0,0.0,27.0,,,0.0,,,,34,
2020-01-15 01:45:01,,,,,,,,,-1.0111097919999992,0.0,,73.91299999999998,351.607,0.0026822399999999,34,
2020-01-15 02:00:00,0.0,-200.0,284.0,0.0,-200.0,9.0,0.0,27.0,-0.5277764199999985,0.0,0.0,73.14399999999998,351.607,0.0,34,
2020-01-15 02:15:00,0.0,-300.0,284.0,0.0,-200.0,9.0,0.0,26.0,,,0.0,,,,34,
2020-01-15 02:15:01,,,,,,,,,-0.7944431079999994,0.0,,72.263,351.607,0.0026822399999999,34,
2020-01-15 02:30:00,0.0,-300.0,285.0,0.0,-200.0,9.0,0.0,26.0,-0.6611097639999989,0.0,0.0,69.938,351.607,0.0,34,
2020-01-15 02:45:00,0.0,-200.0,285.0,0.0,-200.0,9.0,0.0,26.0,-0.6611097639999989,,0.0,67.744,351.585,0.0,34,
2020-01-15 03:00:00,0.0,-200.0,284.0,0.0,-200.0,9.0,0.0,26.0,,,0.0,,,,34,
2020-01-15 03:00:01,,,,,,,,,-1.2055542519999989,0.0,,66.806,351.607,0.0,34,
2020-01-15 03:15:00,0.0,-300.0,284.0,0.0,-200.0,9.0,0.0,25.0,-1.8722209719999992,0.0,0.0,68.969,351.607,0.0,34,
