system_id,system_public_name,site_location,timezone_or_utc_offset,latitude,longitude,elevation_m,dc_capacity_kW,kg_climate,pvcz_composite,pvcz_t_rack,pvcz_t_roof,pvcz_humidity,pvcz_wind,tracking,type,azimuth,tilt,first_timestamp,last_timestamp,years,number_records,dataset_size_mb,available_sensor_channels,qa_status,qa_issue,,,,,
2,Residential 1a,"Lakewood, CO",America/Denver,39.7214,-105.0972,1675,2.912,Dfb,12,2,4,1,3,fixed,roof,181.2,18.5,1/21/2010 11:02,1/13/2020 16:45,9.9835,13685898,313.25,7,fail,less than 1.0 years data,,,,,
3,Residential 1b,"Lakewood, CO",America/Denver,39.7214,-105.0972,1675,2.72,Dfb,12,2,4,1,3,fixed,roof,181.2,18.5,1/21/2010 11:02,1/30/2017 17:00,7.0301,12668178,289.95,7,fail,,,,,,
4,NREL x-Si -1,"Golden, CO",7,39.7406,-105.1774,1795.3,1,BSk,12,2,4,1,3,fixed,ground,180,40,8/26/2007 0:00,7/28/2025 22:10,17.9342,113978017,2608.75,15,pass,"Filtered time series less than 1.0 years data, Percent clipping exceeded threshold of 10%, Inconclusive orientation",,,,,
10,NREL CIS -1,"Golden, CO",7,39.7404,-105.1774,1792.8,1.12,BSk,12,2,4,1,3,fixed,ground,180,40,1/9/2006 22:45,7/29/2025 0:00,19.5643,113103574,2588.74,14,pass,Filtered time series less than 1.0 years data,,,,,
33,Silicor Materials,"Golden, CO",7,39.7404,-105.1772,1794,2.4,BSk,12,2,4,1,3,fixed,ground,180,40,3/11/2010 16:23,7/28/2025 22:10,15.3917,113673602,2601.78,15,pass,"Percent clipping exceeded threshold of 10%, Filtered time series less than 1.0 years data",,,,,
34,Andre Agassi Preparatory Academy - Building A,"Las Vegas, NV",America/Los_Angeles,36.1952,-115.1582,620,146.64,Bwh,26,6,8,2,2,fixed,roof,180,11.2,8/23/2010 11:13,7/26/2020 15:45,9.9315,5101891,116.77,15,pass,"Percent clipping exceeded threshold of 10%, temp mean outside boundaries, Filtered time series less than 1.0 years data",,,,,
35,Andre Agassi Preparatory Academy - Gymnasium,"Las Vegas, NV",America/Los_Angeles,36.1952,-115.1582,620,121.68,Bwh,26,6,8,2,2,fixed,roof,270,,8/23/2010 7:49,7/26/2020 15:45,9.9315,5038625,115.32,15,pass,"Filtered time series less than 1.0 years data, temp mean outside boundaries, Less than 10% daytime values",,,,,
36,NREL low-X x-Si -1,"Golden, CO",7,39.704,-105.1773,1794.7,2.21,BSk,12,2,4,1,3,fixed,ground,180,45,5/24/1994 5:00,7/22/2019 9:39,25.178,124502727,2849.64,36,fail,less than 1.0 years data,,,,,
50,NREL x-Si 6,"Golden, CO",7,39.742,-105.1727,1994.7,6,BSk,12,2,4,1,3,fixed,ground,158,45,5/13/1994 15:30,7/28/2025 23:20,31.2301,134519416,3078.91,23,pass,"Less than 10% daytime values, Filtered time series less than 1.0 years data",,,,,
51,NREL x-Si 7,"Golden, CO",7,39.7416,-105.1734,1994.7,6,BSk,12,2,4,1,3,fixed,ground,158,45,5/13/1994 15:45,7/28/2025 23:20,31.2301,91878523,2102.93,23,pass,"Less than 10% daytime values, temp mean outside boundaries, Filtered time series less than 1.0 years data",,,,,
