timestamp,irradiance_w_m2,ambient_temp_c,module_temp_c,wind_speed_m_s,humidity_pct,cloud_cover_pct,hour,day_of_year,power_kw
2024-01-01 00:00:00,0.0,2.05,-1.57,5.17,72.18,24.4,0,1,0.0
2024-01-01 01:00:00,0.0,9.15,4.26,6.98,77.2,28.41,1,1,0.0
2024-01-01 02:00:00,0.0,6.5,2.49,5.73,80.19,39.03,2,1,0.0
2024-01-01 03:00:00,30.46,5.01,3.86,2.85,61.76,29.86,3,1,0.294
2024-01-01 04:00:00,0.0,8.58,8.45,0.19,66.25,41.84,4,1,0.0
2024-01-01 05:00:00,18.68,8.26,8.34,0.63,67.34,49.96,5,1,0.0
2024-01-01 06:00:00,0.0,7.64,5.89,2.51,76.0,30.4,6,1,0.0
2024-01-01 07:00:00,92.46,11.24,12.0,2.6,60.3,15.09,7,1,9.242
2024-01-01 08:00:00,202.88,13.83,13.69,8.31,53.52,32.94,8,1,21.924
2024-01-01 09:00:00,226.77,14.34,19.16,2.18,66.44,52.37,9,1,20.507
2024-01-01 10:00:00,371.95,15.56,24.6,1.96,62.08,16.13,10,1,35.012
2024-01-01 11:00:00,360.93,17.12,24.93,3.27,72.58,32.75,11,1,36.639
2024-01-01 12:00:00,343.5,13.64,19.41,5.51,84.12,48.76,12,1,32.01
2024-01-01 13:00:00,409.24,17.42,27.75,1.61,73.67,21.62,13,1,40.799
2024-01-01 14:00:00,280.34,18.18,21.66,6.24,69.18,29.18,14,1,27.943
2024-01-01 15:00:00,279.17,16.77,24.12,0.66,59.9,22.82,15,1,26.846
2024-01-01 16:00:00,236.02,15.37,21.42,0.8,49.03,15.63,16,1,23.322
2024-01-01 17:00:00,84.16,14.74,15.32,2.54,61.06,14.56,17,1,8.989
2024-01-01 18:00:00,0.0,14.61,12.65,2.8,67.26,32.81,18,1,0.0
2024-01-01 19:00:00,0.0,15.82,14.59,1.76,69.68,31.33,19,1,0.0
2024-01-01 20:00:00,13.02,15.75,15.25,1.24,76.44,32.89,20,1,0.0
2024-01-01 21:00:00,0.0,14.05,11.98,2.96,70.95,16.36,21,1,0.0
2024-01-01 22:00:00,32.32,7.08,7.35,0.91,74.31,41.31,22,1,5.067
2024-01-01 23:00:00,46.09,7.28,5.98,3.71,62.81,11.29,23,1,5.457
2024-01-02 00:00:00,0.0,9.51,8.93,0.83,59.56,36.48,0,2,0.0
2024-01-02 01:00:00,0.0,10.3,6.75,5.07,63.49,29.89,1,2,0.0
2024-01-02 02:00:00,0.0,5.6,3.52,2.97,58.29,9.62,2,2,0.0
2024-01-02 03:00:00,16.53,8.07,6.89,2.35,93.62,39.6,3,2,0.0
2024-01-02 04:00:00,0.0,5.94,4.61,1.89,85.81,25.35,4,2,0.0
2024-01-02 05:00:00,0.0,9.55,8.11,2.06,68.25,62.82,5,2,0.0
2024-01-02 06:00:00,28.7,8.74,8.85,1.0,71.62,22.66,6,2,2.976
2024-01-02 07:00:00,43.93,11.6,11.27,2.23,65.31,56.06,7,2,1.55
2024-01-02 08:00:00,170.78,10.11,13.79,1.57,68.36,16.41,8,2,17.42
2024-01-02 09:00:00,253.72,10.56,16.64,1.46,60.16,6.89,9,2,24.596
2024-01-02 10:00:00,306.56,21.23,24.61,7.43,71.26,50.79,10,2,30.983
2024-01-02 11:00:00,453.59,16.2,27.79,1.59,70.52,4.63,11,2,41.949
2024-01-02 12:00:00,422.88,21.13,31.73,1.77,65.67,11.89,12,2,38.891
2024-01-02 13:00:00,298.84,20.38,25.78,4.23,77.76,43.58,13,2,27.738
2024-01-02 14:00:00,367.88,14.26,23.86,0.99,71.55,24.39,14,2,35.193
2024-01-02 15:00:00,345.83,18.08,24.28,4.98,61.54,27.69,15,2,33.597
2024-01-02 16:00:00,157.74,14.27,17.48,1.72,62.94,47.98,16,2,16.537
2024-01-02 17:00:00,59.64,15.47,16.35,1.13,69.32,42.32,17,2,6.694
2024-01-02 18:00:00,31.04,11.26,11.84,0.41,64.85,20.31,18,2,1.235
2024-01-02 19:00:00,0.0,10.68,7.47,4.58,59.47,5.29,19,2,0.0
2024-01-02 20:00:00,0.0,10.82,9.85,1.39,60.61,15.79,20,2,0.0
2024-01-02 21:00:00,0.0,10.14,8.96,1.69,67.34,17.39,21,2,0.0
2024-01-02 22:00:00,0.0,10.11,8.91,1.71,84.42,45.52,22,2,0.0
2024-01-02 23:00:00,0.0,6.92,5.95,1.38,60.57,56.41,23,2,0.0
2024-01-03 00:00:00,31.47,8.33,7.15,2.95,55.2,8.92,0,3,5.199
2024-01-03 01:00:00,0.0,9.81,7.09,3.88,70.49,23.4,1,3,0.0
2024-01-03 02:00:00,19.5,7.91,3.06,7.71,61.79,54.5,2,3,0.0
2024-01-03 03:00:00,0.0,7.4,3.72,5.26,56.83,20.93,3,3,0.0
2024-01-03 04:00:00,3.13,8.72,7.19,2.31,89.74,39.96,4,3,0.0
2024-01-03 05:00:00,13.06,5.96,3.71,3.73,77.34,37.34,5,3,0.0
2024-01-03 06:00:00,0.0,11.77,7.4,6.24,92.46,36.19,6,3,0.0
2024-01-03 07:00:00,89.67,8.67,8.3,4.12,54.57,21.6,7,3,8.489
2024-01-03 08:00:00,194.73,15.47,19.24,2.4,80.94,12.51,8,3,18.78
2024-01-03 09:00:00,292.28,15.2,21.29,2.99,57.39,26.73,9,3,26.966
2024-01-03 10:00:00,262.11,15.98,19.8,5.02,77.98,39.26,10,3,26.515
2024-01-03 11:00:00,469.98,17.1,30.05,0.3,44.59,5.13,11,3,44.507
2024-01-03 12:00:00,255.02,16.69,22.51,1.88,80.19,68.17,12,3,25.364
2024-01-03 13:00:00,422.89,15.62,27.31,0.22,64.59,2.42,13,3,40.475
2024-01-03 14:00:00,391.58,15.48,25.89,0.78,58.58,4.15,14,3,37.928
2024-01-03 15:00:00,290.66,20.7,28.75,0.13,51.57,11.52,15,3,30.061
2024-01-03 16:00:00,202.74,16.9,21.34,1.76,63.39,19.46,16,3,20.676
2024-01-03 17:00:00,74.23,13.67,11.63,5.89,70.11,26.45,17,3,4.854
2024-01-03 18:00:00,9.38,15.9,12.92,4.63,58.22,25.62,18,3,0.0
2024-01-03 19:00:00,0.0,14.34,13.55,1.13,66.8,28.17,19,3,0.0
2024-01-03 20:00:00,4.69,11.7,9.76,2.97,65.76,16.76,20,3,0.0
2024-01-03 21:00:00,37.08,9.27,9.65,0.94,81.08,59.12,21,3,2.053
2024-01-03 22:00:00,0.0,11.33,9.71,2.32,54.61,20.75,22,3,0.0
2024-01-03 23:00:00,0.0,10.72,6.93,5.41,63.9,25.35,23,3,0.0
2024-01-04 00:00:00,0.0,8.51,8.03,0.69,66.86,10.31,0,4,0.0
2024-01-04 01:00:00,13.75,7.51,6.03,2.66,65.97,24.12,1,4,0.0
2024-01-04 02:00:00,0.0,5.63,3.08,3.65,67.61,51.2,2,4,0.0
2024-01-04 03:00:00,0.43,8.33,7.41,1.33,83.78,53.49,3,4,0.0
2024-01-04 04:00:00,0.0,6.6,4.75,2.64,81.75,42.59,4,4,0.0
2024-01-04 05:00:00,0.0,6.12,5.35,1.09,76.63,28.53,5,4,0.0
2024-01-04 06:00:00,62.4,11.95,12.01,2.41,65.28,24.79,6,4,6.597
2024-01-04 07:00:00,90.4,8.84,9.69,2.41,71.93,43.17,7,4,9.73
2024-01-04 08:00:00,214.86,8.4,14.0,0.59,77.81,19.71,8,4,22.804
2024-01-04 09:00:00,228.99,16.11,22.18,0.49,76.77,37.52,9,4,24.845
2024-01-04 10:00:00,355.82,11.21,20.89,0.41,79.96,30.61,10,4,35.179
2024-01-04 11:00:00,369.9,14.95,23.14,3.11,69.51,30.32,11,4,34.084
2024-01-04 12:00:00,338.49,14.34,21.89,2.75,78.4,48.45,12,4,31.913
2024-01-04 13:00:00,445.47,15.58,26.49,2.24,68.69,9.1,13,4,42.939
2024-01-04 14:00:00,326.13,21.65,29.51,1.8,79.26,32.53,14,4,33.084
2024-01-04 15:00:00,183.1,16.82,19.26,3.85,57.67,60.46,15,4,19.057
2024-01-04 16:00:00,145.31,17.25,20.17,1.64,67.37,22.81,16,4,12.959
