irradiance,ambient_temperature,module_temperature,humidity,wind_speed,hour,day_of_year,power_output,weather_condition
0.0,3.05,-1.09,70.22,5.17,0,1,0.0,night_or_low_power
0.0,7.5,2.91,73.68,5.73,2,1,0.0,night_or_low_power
30.46,6.01,4.64,57.84,2.85,3,1,0.285,night_or_low_power
0.0,9.58,9.43,58.63,0.19,4,1,0.0,night_or_low_power
18.68,9.26,9.32,57.75,0.63,5,1,0.0,night_or_low_power
0.0,8.64,6.64,71.42,2.51,6,1,0.0,night_or_low_power
89.01,12.24,12.82,58.83,2.6,7,1,8.864,cloudy
231.57,15.34,20.54,55.03,2.18,9,1,20.857,cloudy
360.2,16.56,25.8,59.49,1.96,10,1,33.71,cloudy
351.03,18.12,26.03,65.52,3.27,11,1,35.535,cloudy
346.27,14.64,20.63,73.75,5.51,12,1,32.12,cloudy
395.87,18.42,29.01,69.33,1.61,13,1,39.33,cloudy
269.99,19.18,22.28,62.8,6.24,14,1,26.866,cloudy
269.48,17.77,25.33,55.39,0.66,15,1,25.782,cloudy
229.29,16.37,22.61,46.6,0.8,16,1,22.558,cloudy
80.75,15.74,16.13,59.02,2.54,17,1,8.621,cloudy
0.0,15.61,13.37,60.68,2.8,18,1,0.0,night_or_low_power
0.0,16.82,15.41,63.23,1.76,19,1,0.0,night_or_low_power
13.02,16.75,16.15,69.62,1.24,20,1,0.0,night_or_low_power
0.0,15.05,12.68,68.6,2.96,21,1,0.0,night_or_low_power
32.32,8.08,8.32,67.11,0.91,22,1,5.055,night_or_low_power
46.09,8.28,6.7,63.08,3.71,23,1,5.444,night_or_low_power
0.0,10.51,9.85,53.08,0.83,0,2,0.0,night_or_low_power
0.0,11.3,7.25,58.51,5.07,1,2,0.0,night_or_low_power
0.0,6.6,4.22,59.31,2.97,2,2,0.0,night_or_low_power
0.0,6.94,5.42,82.84,1.89,4,2,0.0,night_or_low_power
0.0,10.55,8.9,55.18,2.06,5,2,0.0,night_or_low_power
28.7,9.74,9.81,68.76,1.0,6,2,2.966,night_or_low_power
46.85,12.6,12.22,53.52,2.23,7,2,1.83,cloudy
163.96,11.11,14.77,66.79,1.57,8,2,16.67,cloudy
247.34,11.56,17.81,60.87,1.46,9,2,23.848,cloudy
446.98,17.2,29.34,70.67,1.59,11,2,41.051,cloudy
410.65,22.13,33.03,63.02,1.77,12,2,37.536,cloudy
296.58,21.38,26.89,67.34,4.23,13,2,27.394,cloudy
356.22,15.26,25.15,67.15,0.99,14,2,33.886,cloudy
336.96,19.08,25.21,55.55,4.98,15,2,32.618,cloudy
158.72,15.27,18.65,52.64,1.72,16,2,16.563,cloudy
58.74,16.47,17.33,60.19,1.13,17,2,6.583,cloudy
31.04,12.26,12.86,62.07,0.41,18,2,1.223,night_or_low_power
