irradiance,ambient_temperature,module_temperature,humidity,wind_speed,hour,day_of_year,power_output,weather_condition
89.01,12.24,12.82,58.83,2.6,7,1,8.864,cloudy
231.57,15.34,20.54,55.03,2.18,9,1,20.857,cloudy
360.2,16.56,25.8,59.49,1.96,10,1,33.71,cloudy
351.03,18.12,26.03,65.52,3.27,11,1,35.535,cloudy
346.27,14.64,20.63,73.75,5.51,12,1,32.12,cloudy
395.87,18.42,29.01,69.33,1.61,13,1,39.33,cloudy
269.99,19.18,22.28,62.8,6.24,14,1,26.866,cloudy
269.48,17.77,25.33,55.39,0.66,15,1,25.782,cloudy
229.29,16.37,22.61,46.6,0.8,16,1,22.558,cloudy
80.75,15.74,16.13,59.02,2.54,17,1,8.621,cloudy
46.85,12.6,12.22,53.52,2.23,7,2,1.83,cloudy
163.96,11.11,14.77,66.79,1.57,8,2,16.67,cloudy
247.34,11.56,17.81,60.87,1.46,9,2,23.848,cloudy
446.98,17.2,29.34,70.67,1.59,11,2,41.051,cloudy
410.65,22.13,33.03,63.02,1.77,12,2,37.536,cloudy
296.58,21.38,26.89,67.34,4.23,13,2,27.394,cloudy
356.22,15.26,25.15,67.15,0.99,14,2,33.886,cloudy
336.96,19.08,25.21,55.55,4.98,15,2,32.618,cloudy
158.72,15.27,18.65,52.64,1.72,16,2,16.563,cloudy
58.74,16.47,17.33,60.19,1.13,17,2,6.583,cloudy
86.07,9.67,8.96,51.98,4.12,7,3,8.097,cloudy
188.46,16.47,20.2,79.27,2.4,8,3,18.092,cloudy
283.17,16.2,22.3,52.22,2.99,9,3,25.963,cloudy
256.93,16.98,20.66,69.52,5.02,10,3,25.918,cloudy
283.57,17.69,24.69,64.36,1.88,12,3,27.908,cloudy
418.9,16.62,29.01,65.41,0.22,13,3,39.817,cloudy
386.1,16.48,27.43,59.0,0.78,14,3,37.172,cloudy
282.11,21.7,30.06,49.1,0.13,15,3,29.106,cloudy
195.75,17.9,22.36,59.7,1.76,16,3,19.914,cloudy
70.88,14.67,12.09,65.32,5.89,17,3,4.5,cloudy
89.69,9.84,10.61,63.92,2.41,7,4,9.626,cloudy
207.85,9.4,15.16,75.76,0.59,8,4,22.005,cloudy
223.82,17.11,23.43,68.71,0.49,9,4,24.233,cloudy
345.94,12.21,22.26,74.62,0.41,10,4,34.026,cloudy
358.76,15.95,24.23,63.49,3.11,11,4,32.848,cloudy
340.94,15.34,23.36,67.97,2.75,12,4,31.959,cloudy
435.1,16.58,27.84,67.85,2.24,13,4,41.716,cloudy
317.09,22.65,30.72,71.35,1.8,14,4,32.081,cloudy
195.27,17.82,20.6,43.74,3.85,15,4,20.156,cloudy
138.4,18.25,21.09,62.77,1.64,16,4,12.23,cloudy
86.72,18.31,19.97,69.39,1.18,17,4,7.561,cloudy
92.89,11.73,11.88,60.02,3.29,7,5,10.54,cloudy
144.81,11.78,13.99,58.78,2.66,8,5,13.72,cloudy
243.97,15.66,18.57,71.19,5.52,9,5,25.755,cloudy
361.96,15.51,25.45,72.08,1.14,10,5,37.569,cloudy
390.83,20.46,29.79,62.76,2.99,11,5,35.977,cloudy
292.53,16.5,21.91,64.53,4.2,12,5,27.609,cloudy
377.77,17.62,26.36,63.78,3.25,13,5,37.057,cloudy
303.31,17.16,23.15,71.86,3.9,14,5,27.581,cloudy
264.57,21.6,28.24,66.33,1.63,15,5,25.349,cloudy
173.77,14.47,17.65,60.04,2.54,16,5,16.828,cloudy
88.0,11.51,12.8,67.61,1.69,7,6,9.345,cloudy
171.51,12.99,15.85,48.36,2.87,8,6,21.465,cloudy
264.46,14.55,20.36,62.64,2.65,9,6,27.519,cloudy
285.41,15.0,22.56,68.43,1.26,10,6,27.754,cloudy
323.16,14.68,22.66,72.99,2.15,11,6,36.027,cloudy
349.5,16.71,25.88,67.33,1.64,12,6,30.971,cloudy
308.1,21.23,28.92,77.15,1.94,13,6,30.129,cloudy
363.53,17.78,24.38,56.17,5.39,14,6,37.917,cloudy
290.28,19.0,25.33,55.62,2.97,15,6,26.447,cloudy
209.41,15.13,19.86,66.26,1.94,16,6,21.076,cloudy
89.78,15.82,16.76,73.1,2.19,17,6,8.004,cloudy
164.8,12.71,16.53,53.16,1.4,8,7,15.725,cloudy
254.21,10.19,15.14,57.49,3.34,9,7,24.368,cloudy
408.36,14.91,24.87,58.68,2.86,11,7,38.503,cloudy
331.4,16.99,23.7,48.13,4.03,12,7,34.158,cloudy
399.48,22.31,33.04,53.63,1.56,13,7,36.477,cloudy
275.87,15.74,22.58,62.82,1.8,14,7,28.005,cloudy
318.4,18.35,26.05,48.63,2.32,15,7,30.982,cloudy
196.27,17.48,22.52,75.21,1.05,16,7,19.971,cloudy
