irradiance,ambient_temperature,module_temperature,humidity,wind_speed,hour,day_of_year,power_output,weather_condition
197.67,10.73,14.99,71.82,2.09,17,60,20.876,sunny
358.25,9.91,20.24,63.59,0.52,8,63,36.954,sunny
198.34,11.16,16.24,68.41,1.09,17,64,18.991,sunny
367.64,10.07,19.41,55.37,2.1,16,69,34.373,sunny
195.47,11.62,14.34,75.22,3.93,17,72,21.05,sunny
643.64,8.22,25.23,61.59,2.88,10,77,63.436,sunny
365.44,10.79,21.3,62.88,0.57,16,78,33.8,sunny
690.81,10.57,30.27,57.83,1.28,11,82,67.352,sunny
532.67,6.56,20.44,58.16,2.62,9,83,53.509,sunny
376.94,8.36,18.88,46.81,0.99,16,83,38.692,sunny
735.09,9.76,30.98,70.55,1.04,13,84,71.299,sunny
716.7,11.11,31.91,70.88,0.88,11,85,67.348,sunny
706.32,11.06,29.6,59.84,3.32,12,85,65.905,sunny
615.36,9.47,27.03,66.64,1.13,10,86,56.837,sunny
696.0,9.98,26.14,62.5,5.9,11,86,65.959,sunny
711.22,7.76,28.36,61.52,0.93,11,87,66.118,sunny
187.31,6.8,11.31,65.33,1.39,7,88,19.306,sunny
187.83,5.47,10.8,74.32,0.39,7,89,20.242,sunny
748.44,8.87,30.59,61.37,0.92,12,89,71.99,sunny
193.22,5.93,8.37,55.84,4.2,17,89,17.862,sunny
684.95,11.92,31.45,54.82,1.28,11,90,63.121,sunny
738.29,11.17,32.05,70.69,1.58,12,90,71.749,sunny
376.3,11.78,21.41,65.53,2.07,16,90,34.729,sunny
673.57,9.97,28.87,67.94,1.64,14,91,63.366,sunny
531.99,11.53,23.04,59.36,5.55,15,91,53.931,sunny
199.75,6.02,8.1,63.69,4.89,17,91,18.675,sunny
211.9,5.08,10.54,72.06,1.12,7,92,21.269,sunny
508.12,8.35,21.98,49.03,2.01,9,92,50.314,sunny
635.39,9.89,27.16,64.84,2.24,10,92,61.828,sunny
504.81,5.32,19.09,65.13,1.71,9,93,54.164,sunny
626.89,11.01,28.85,56.36,1.2,14,93,60.199,sunny
381.81,11.08,22.11,74.77,0.53,16,93,38.37,sunny
386.87,6.73,17.53,68.61,1.0,8,94,40.887,sunny
554.76,9.43,24.0,52.69,2.59,9,94,53.8,sunny
665.23,9.41,28.56,61.59,1.01,10,94,64.393,sunny
741.67,14.14,35.99,52.16,0.5,13,95,70.58,sunny
506.0,19.39,32.47,70.34,2.62,15,95,45.677,sunny
189.0,6.17,8.7,67.6,3.93,7,96,16.052,sunny
515.48,7.45,22.23,69.15,0.86,9,96,50.225,sunny
632.98,10.8,25.07,59.94,5.9,10,96,61.458,sunny
696.67,12.1,32.22,58.05,0.98,13,96,65.163,sunny
699.79,9.63,29.85,71.09,0.97,14,96,66.719,sunny
539.52,13.05,28.42,63.47,1.02,15,96,51.753,sunny
405.34,4.77,15.9,79.13,1.29,8,97,38.185,sunny
518.45,6.47,21.12,74.25,1.13,9,97,51.441,sunny
771.07,10.19,32.59,53.13,0.91,12,97,75.057,sunny
729.14,15.02,36.64,62.49,0.32,13,97,67.936,sunny
189.52,6.9,11.46,59.6,1.41,7,98,22.368,sunny
393.11,2.61,13.39,64.91,1.27,8,98,44.915,sunny
659.36,13.57,30.86,70.23,3.11,14,98,60.719,sunny
507.57,10.59,21.85,61.21,4.96,15,98,48.882,sunny
370.33,10.26,20.73,61.81,0.81,16,98,35.709,sunny
629.54,13.24,31.06,78.97,1.33,10,99,58.717,sunny
738.22,8.97,29.49,70.86,2.04,11,99,70.433,sunny
497.97,9.58,22.84,72.09,2.09,15,99,49.846,sunny
689.39,12.55,32.65,64.96,0.72,12,100,64.939,sunny
189.5,3.96,6.4,67.14,4.06,7,101,18.785,sunny
709.8,7.99,27.03,46.15,2.83,12,101,64.71,sunny
501.81,11.74,25.92,63.41,1.1,15,101,48.439,sunny
365.62,9.31,18.88,64.03,1.75,16,101,35.287,sunny
188.37,10.11,10.91,72.93,6.07,17,101,19.732,sunny
194.9,5.54,8.12,59.56,4.09,7,102,22.863,sunny
357.78,7.65,18.18,68.92,0.26,8,102,35.892,sunny
784.15,13.57,36.06,66.68,1.28,13,102,69.096,sunny
397.15,11.95,21.33,62.11,3.17,16,102,38.039,sunny
190.53,7.03,12.09,73.16,0.81,17,102,18.979,sunny
409.6,5.02,16.39,71.28,1.15,8,103,43.677,sunny
566.39,7.92,23.76,69.63,1.44,9,103,52.615,sunny
653.33,10.97,28.6,59.9,2.46,10,103,60.665,sunny
202.91,3.94,9.24,65.7,0.99,7,104,21.336,sunny
414.64,3.86,15.46,76.88,1.04,8,104,42.523,sunny
608.68,6.76,22.96,65.13,2.57,9,104,59.117,sunny
667.03,12.89,30.47,62.03,3.03,10,104,62.291,sunny
781.29,9.32,32.05,69.62,0.88,11,104,75.505,sunny
789.36,11.52,34.43,56.36,0.97,12,104,75.547,sunny
387.04,10.35,21.1,67.19,1.08,16,104,36.712,sunny
385.39,6.23,14.65,62.61,3.93,8,105,38.911,sunny
645.9,9.34,27.61,65.15,1.38,10,105,60.763,sunny
756.61,10.43,32.08,79.83,1.3,11,105,69.431,sunny
778.87,8.83,31.99,70.07,0.26,12,105,74.128,sunny
737.99,7.91,27.1,54.36,3.69,13,105,69.557,sunny
609.56,11.27,27.29,61.61,2.84,15,105,57.835,sunny
392.71,10.9,21.68,63.22,1.26,16,105,38.256,sunny
389.42,6.54,16.62,63.38,2.01,8,106,36.181,sunny
